"Job vacancies, payroll employees, and job vacancy rate by industry sector, monthly, adjusted for seasonality 1 2"
"Frequency: Monthly"
"Table: 14-10-0406-01"
"Release date: 2025-11-27"
"Geography: Canada"
""
""

,"Geography","Canada",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"North American Industry Classification System (NAICS) 3","Statistics","April 2015","May 2015","June 2015","July 2015","August 2015","September 2015","October 2015","November 2015","December 2015","January 2016","February 2016","March 2016","April 2016","May 2016","June 2016","July 2016","August 2016","September 2016","October 2016","November 2016","December 2016","January 2017","February 2017","March 2017","April 2017","May 2017","June 2017","July 2017","August 2017","September 2017","October 2017","November 2017","December 2017","January 2018","February 2018","March 2018","April 2018","May 2018","June 2018","July 2018","August 2018","September 2018","October 2018","November 2018","December 2018","January 2019","February 2019","March 2019","April 2019","May 2019","June 2019","July 2019","August 2019","September 2019","October 2019","November 2019","December 2019","January 2020","February 2020","March 2020","April 2020","May 2020","June 2020","July 2020","August 2020","September 2020","October 2020","November 2020","December 2020","January 2021","February 2021","March 2021","April 2021","May 2021","June 2021","July 2021","August 2021","September 2021","October 2021","November 2021","December 2021","January 2022","February 2022","March 2022","April 2022","May 2022","June 2022","July 2022","August 2022","September 2022","October 2022","November 2022","December 2022","January 2023","February 2023","March 2023","April 2023","May 2023","June 2023","July 2023","August 2023","September 2023","October 2023","November 2023","December 2023","January 2024","February 2024","March 2024","April 2024","May 2024","June 2024","July 2024","August 2024","September 2024","October 2024","November 2024","December 2024","January 2025","February 2025","March 2025","April 2025","May 2025","June 2025","July 2025","August 2025","September 2025"
"Professional, scientific and technical services  [54]",,"Number",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Job vacancies 4","F","22,980","21,995","22,740","20,110","22,895","23,110","23,020","24,235","22,685","20,080","22,235","23,525","20,425","23,245","27,045","24,010","27,490","23,535","23,080","25,815","25,075","25,965","25,155","23,940","30,910","25,855","25,365","31,050","27,075","28,290","33,265","30,510","27,360","29,390","35,865","31,330","32,695","36,185","34,660","34,495","37,555","37,805","36,340","39,525","40,180","42,490","37,980","37,030","41,025","38,820","37,320","38,460","35,200","38,980","38,770","35,035","42,985","39,525","39,025","..","..","..","..","..","..","38,000","39,865","41,595","43,120","48,330","47,040","50,600","48,315","52,365","57,945","62,410","65,160","64,825","68,340","69,110","68,970","65,645","68,945","73,850","71,010","72,360","68,605","63,220","63,570","63,655","54,520","58,595","51,305","50,840","50,515","44,570","48,645","46,935","42,880","42,865","41,175","44,030","44,015","38,405","46,490","43,115","40,415","40,780","38,370","35,310","38,395","40,275","39,830","38,000","39,875","36,465","35,225","37,925","39,520","37,785","35,990","35,575","38,035","36,245","36,960"
,"Payroll employees 5","853,755","854,360","853,010","853,530","856,135","857,490","856,430","856,595","855,035","857,375","856,965","856,730","856,430","857,530","858,380","859,995","862,650","863,300","867,375","871,080","874,140","874,550","878,955","882,135","882,415","885,005","888,845","891,490","891,960","894,895","898,920","898,330","901,480","906,545","906,715","913,745","922,000","924,970","931,460","931,665","931,915","935,980","937,230","941,460","946,335","952,605","954,720","957,255","959,955","963,570","966,100","971,605","978,940","983,675","984,105","988,615","991,340","991,735","991,380","991,825","..","..","..","..","..","..","957,110","970,665","981,415","986,185","998,195","1,006,155","1,015,535","1,025,180","1,032,930","1,046,330","1,056,280","1,061,440","1,077,475","1,086,905","1,093,920","1,105,250","1,120,335","1,128,940","1,139,555","1,146,095","1,155,155","1,161,425","1,172,655","1,180,215","1,189,410","1,192,870","1,199,635","1,204,925","1,204,110","1,208,845","1,210,075","1,216,465","1,217,995","1,219,320","1,217,360","1,220,120","1,219,470","1,223,725","1,221,700","1,220,715","1,224,455","1,224,285","1,226,955","1,224,850","1,226,390","1,227,405","1,228,535","1,228,010","1,226,060","1,224,915","1,228,150","1,231,235","1,228,460","1,230,025","1,229,120","1,230,770","1,232,470","1,229,445","1,234,300","1,233,005"
,,"Percent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Job vacancy rate 6","F","2.6","2.5","2.6","2.3","2.6","2.6","2.6","2.8","2.6","2.3","2.5","2.7","2.3","2.6","3.0","2.7","3.1","2.6","2.6","2.9","2.8","2.9","2.8","2.6","3.4","2.8","2.8","3.4","2.9","3.1","3.6","3.3","2.9","3.1","3.8","3.3","3.4","3.7","3.6","3.6","3.9","3.9","3.7","4.0","4.0","4.3","3.8","3.7","4.1","3.9","3.7","3.8","3.5","3.8","3.8","3.4","4.2","3.8","3.8","..","..","..","..","..","..","3.8","3.9","4.1","4.2","4.6","4.5","4.7","4.5","4.8","5.2","5.6","5.8","5.7","5.9","5.9","5.9","5.5","5.8","6.1","5.8","5.9","5.6","5.1","5.1","5.1","4.4","4.7","4.1","4.1","4.0","3.6","3.8","3.7","3.4","3.4","3.3","3.5","3.5","3.0","3.7","3.4","3.2","3.2","3.0","2.8","3.0","3.2","3.1","3.0","3.2","2.9","2.8","3.0","3.1","3.0","2.8","2.8","3.0","2.9","2.9"

Symbol legend:
.., not available for a specific reference period
E, use with caution
F, too unreliable to be published
A, data quality: excellent
B, data quality: very good
C, data quality: good
D, data quality: acceptable




Footnotes:
1,"Data quality indicators are based on the coefficient of variation (CV), the non-response errors, the imputation errors, and subject matter expertise: A – Excellent; B - Very good; C - Good; D – Acceptable; E - Use with caution; F - Too unreliable to publish."
2,"Data for the second and third quarters of 2020 are unavailable due to some Statistics Canada operations being temporarily suspended during the COVID-19 pandemic."
3,"Industry estimates are based on the <a href="https://www.statcan.gc.ca/en/subjects/standard/naics/2022/v1/index" rel="external noopener noreferrer" target="_blank">2022 North American Industry Classification System (NAICS) Version 1.0 (opens new window)</a>. The following categories are excluded from the survey: 'Religious organizations' (8131) within 'Religious, grant-making, civic, and professional and similar organizations' (813), 'Private households' (814), 'Federal, government public administration' (911), 'Provincial and territorial public administration' (912) and 'International and other extra-territorial public administration' (919)."
7,"Excludes "Religious organizations" (8131) within "Religious, grant-making, civic, and professional and similar organizations" (813) as well as "Private households" (814)."
8,"Excludes "Federal, government public administration" (911), "Provincial and territorial public administration" (912) and "International and other extra-territorial public administration" (919)."
4,"A job is vacant if it meets the following conditions: it is vacant on the reference date (first day of the month) or will become vacant during the month; there are tasks to be carried out during the month for the job in question; and the employer is actively seeking a worker outside the organization to fill the job. The jobs could be full-time, part-time, permanent, temporary, casual, or seasonal. Jobs reserved for subcontractors, external consultants, or other workers who are not considered employees, are excluded."
5,"The "employee" concept used in the Job Vacancy and Wage Survey (JVWS) is comprised of full-time employees, part-time employees, as well as permanent, casual, temporary, and seasonal employees. It also includes working owners, directors, partners, and other officers of incorporated businesses, as well as employees who work off site (for example, at home or on the road) but report to the location, and those employees on paid leave. The "employee" concept used in the JVWS is meant to exclude owners or partners of unincorporated businesses and professional practices, the self-employed, subcontractors, external consultants, unpaid family workers, persons working outside Canada, and military personnel. It also excludes employees on unpaid leave, such as those on extended sick leave who are receiving insurance benefits."
6,"The job vacancy rate is the number of job vacancies expressed as a percentage of labour demand; that is, all occupied and vacant jobs."



"How to cite: Statistics Canada. Table 14-10-0406-01  Job vacancies, payroll employees, and job vacancy rate by industry sector, monthly, adjusted for seasonality"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410040601
